# Generated by npm run logos:match — "logo file|domain" for logos_verify/compare.
Nordea Startup & Growth.svg|nordea.dk
Realdania.svg|realdania.dk
Danish Life Science Cluster.svg|danishlifesciencecluster.dk
Life Science Black.png|danishlifesciencecluster.dk
Life Science Black 2.png|danishlifesciencecluster.dk
Life Science White.png|danishlifesciencecluster.dk
Life Science White 2.png|danishlifesciencecluster.dk
Lifescience Grey.png|danishlifesciencecluster.dk
Novo Nordisk Fonden White.png|novonordiskfonden.dk
Industriens Fond Colour.png|industriensfond.dk
Erhvervsfremmebestyrelsen.svg|erhvervsfremmebestyrelsen.dk
Beyond Beta.svg|beyondbeta.dk
Beyond Beta Building.svg|beyondbeta.dk
Dealroom.svg|dealroom.co
Mesh Community.png|meshcommunity.com
Commu.svg|meshcommunity.com
Mastercard.svg|mastercard.com
Repodo (white).svg|repodo.com
Repod.svg|repodo.com
EIFO.svg|eifo.dk
ICDK.svg|icdk.dk
Gothenburg.svg|investingothenburg.com
Sting.svg|investingothenburg.com
Wezeo.svg|wezeo.com
Nebius.svg|nebius.com
Danske Bank.svg|danskebank.dk
Lab08.svg|lab08.com
Vicinity by Lab08.svg|lab08.com
Microsoft.png|microsoft.com
Microsoft White.svg|microsoft.com
Google Cloud.svg|cloud.google.com
Google.svg|cloud.google.com
European Innovation Council.svg|eic.ec.europa.eu
European Innovation Council Colour.png|eic.ec.europa.eu
OOONO.svg|ooono.com
Women in Tech.svg|womenintech.dk
Women in Tech Awards.svg|womenintech.dk
Women in Tech DK.svg|womenintech.dk
Women in Tech DK Colour.png|womenintech.dk
WOMENINTECHSW.svg|womenintech.dk
Boardway.svg|boardway.co
EY White.png|ey.com
Jyske Bank Growth.svg|jyskebank.dk
Copcap Black.svg|copcap.com
HSBC Innovation Banking.png|hsbcinnovationbanking.com
Tonik.png|tonik.fo
Crispa AI.svg|crispa.ai
Crispa.svg|crispa.ai
InvestEU.svg|investeu.europa.eu
ERYK.svg|eryk.com
Techsavvy.svg|techsavvy.media
SKYtek.svg|skytek.dk
SkyTek ApS.png|skytek.dk
Impact Fund Denmark White.svg|impactfund.dk
Impact Fund Denmark.svg|impactfund.dk
Worldfund White.svg|worldfund.vc
BSI Group.svg|bsigroup.com
Flatpay.svg|flatpay.com
Mountside Ventures.svg|mountsideventures.com
Deel.svg|deel.com
Pleo.png|pleo.io
Valencia Innovation Capital.svg|valenciainnovationcapital.com
CPH Labs.svg|cphlabs.dk
Akademikernes A-kasse.svg|aka.dk
Akademikernes A-kasse Colour.png|aka.dk
ESA BIC.svg|esabic.dk
Visma.svg|visma.com
Wonderful Copenhagen.svg|wonderfulcopenhagen.com
Fonden for Entreprenørskab.svg|ffefonden.dk
FALCK.svg|falck.com
Force Technology.svg|forcetechnology.com
Forcetechnology.svg|forcetechnology.com
Force.svg|forcetechnology.com
Symbion.png|symbion.dk
Symbion.svg|symbion.dk
Symbio.png|symbion.dk
Symbio.svg|symbion.dk
Skiftr.svg|skiftr.com
Adeo Web White.svg|adeoweb.com
Grant Thornton.svg|grantthornton.dk
PreSeed Ventures.svg|psv.xyz
E Conomic Primary Pos.svg|e-conomic.dk
Virksomhedsguiden.svg|virksomhedsguiden.dk
FBV.svg|fbv.dk
FBV EN Inverted.svg|fbv.dk
N.Rich.svg|nrich.io
AstraZeneca Colour.svg|astrazeneca.com
OMR Reviews.svg|omr.com
CSE Advisory.svg|cse-advisory.com
Cloudflare.svg|cloudflare.com
Clickhouse.svg|clickhouse.com
High Bridge.svg|highbridge.dk
Ada Ventures.png|adaventures.com
Daniaaccounting.svg|daniaaccounting.com
Moveinnovation.svg|moveinnovation.dk
Prosa.svg|prosa.dk
Swap Languages.svg|swaplanguage.com
Staria.svg|staria.com
Aiesec.png|aiesec.dk
Innovation Fund Denmark.svg|innovationsfonden.dk
EIT Community Supernovas.svg|supernovas.eitcommunity.eu
Commu.svg|supernovas.eitcommunity.eu
EIT Community.svg|supernovas.eitcommunity.eu
Stripe.svg|stripe.com
Abion.svg|abion.com
Accura.svg|accura.dk
Finaman AI.svg|finaman.ai
Nordic Innovation.svg|nordicinnovation.org
Nomono.svg|nomono.co
Health Tech Hub Copenhagen.svg|healthtechhub.org
Copenhagen Fintech.svg|copenhagenfintech.dk
Imec.svg|imec.be
Teknologisk Institut.svg|teknologisk.ai
Techstation.svg|techstation.nu
Creative Girls Club.svg|creativegirlsclub.org
Odense Robotics White.svg|odenserobotics.dk
Nova Talent.svg|novatalent.com
Nordic Women's Health Hub.svg|nordicwomenshealthhub.com
Danish Startup Group.svg|danishstartupgroup.com
